ticker,ticker_normalized,instrument_match_status,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,selected_inscode,ordinary_instrument_count,ordinary_instrument_candidates_json,multiple_ordinary_instruments,probe_retrieved_at,probe_raw_sha256,probe_notes,probe_source,source_file_path,source_file_sha256,valid_iran_run,tsetmc_candidate_disposition
بموتو,بموتو,network_unreachable,,,,,[],0,2026-06-26T22:59:22Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%A8%D9%85%D9%88%D8%AA%D9%88 (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
ثشرق,ثشرق,network_unreachable,,,,,[],0,2026-06-26T22:59:27Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AB%D8%B4%D8%B1%D9%82 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host=",live_probe,,,,network_unreachable
ثنوسا,ثنوسا,network_unreachable,,,,,[],0,2026-06-26T22:59:32Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AB%D9%86%D9%88%D8%B3%D8%A7 (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
حپترو,حپترو,network_unreachable,,,,,[],0,2026-06-26T22:59:37Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AD%D9%BE%D8%AA%D8%B1%D9%88 (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
حکشتی,حکشتی,network_unreachable,,,,,[],0,2026-06-26T22:59:42Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AD%DA%A9%D8%B4%D8%AA%DB%8C (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
خاذین,خاذین,network_unreachable,,,,,[],0,2026-06-26T22:59:47Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AE%D8%A7%D8%B0%DB%8C%D9%86 (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
خبهمن,خبهمن,network_unreachable,,,,,[],0,2026-06-26T22:59:52Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AE%D8%A8%D9%87%D9%85%D9%86 (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
ختوقا,ختوقا,network_unreachable,,,,,[],0,2026-06-26T22:59:58Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AE%D8%AA%D9%88%D9%82%D8%A7 (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
خرینگ,خرینگ,network_unreachable,,,,,[],0,2026-06-26T23:00:03Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AE%D8%B1%DB%8C%D9%86%DA%AF (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
خمحور,خمحور,network_unreachable,,,,,[],0,2026-06-26T23:00:08Z,,"ConnectionError: HTTPSConnectionPool(host='cdn.tsetmc.com', port=443): Max retries exceeded with url: /api/Instrument/GetInstrumentSearch/%D8%AE%D9%85%D8%AD%D9%88%D8%B1 (Caused by ReadTimeoutError(""HTTPSConnectionPool",live_probe,,,,network_unreachable
