cutoff_id,pair_prediction_cutoff_utc,pair_prediction_cutoff_date,number_of_development_pairs_sharing_cutoff,selected_wdi_archive_edition_id,selected_wdi_archive_release_available_at,selection_reason
cut_2013-10-22,2013-10-22T00:00:00Z,2013-10-22,2,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2014-01-20,2014-01-20T00:00:00Z,2014-01-20,5,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2014-05-20,2014-05-20T00:00:00Z,2014-05-20,2,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2014-07-20,2014-07-20T00:00:00Z,2014-07-20,31,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2014-10-22,2014-10-22T00:00:00Z,2014-10-22,2,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2015-01-20,2015-01-20T00:00:00Z,2015-01-20,8,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2015-04-19,2015-04-19T00:00:00Z,2015-04-19,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2015-05-20,2015-05-20T00:00:00Z,2015-05-20,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2015-07-20,2015-07-20T00:00:00Z,2015-07-20,55,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2015-10-22,2015-10-22T00:00:00Z,2015-10-22,3,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2016-01-20,2016-01-20T00:00:00Z,2016-01-20,8,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2016-04-18,2016-04-18T00:00:00Z,2016-04-18,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2016-05-19,2016-05-19T00:00:00Z,2016-05-19,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2016-07-19,2016-07-19T00:00:00Z,2016-07-19,53,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2016-10-21,2016-10-21T00:00:00Z,2016-10-21,3,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2017-01-19,2017-01-19T00:00:00Z,2017-01-19,12,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2017-04-19,2017-04-19T00:00:00Z,2017-04-19,2,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2017-05-20,2017-05-20T00:00:00Z,2017-05-20,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2017-07-21,2017-07-21T00:00:00Z,2017-07-21,61,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2017-10-22,2017-10-22T00:00:00Z,2017-10-22,3,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2018-01-20,2018-01-20T00:00:00Z,2018-01-20,12,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2018-04-19,2018-04-19T00:00:00Z,2018-04-19,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2018-05-20,2018-05-20T00:00:00Z,2018-05-20,2,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2018-07-20,2018-07-20T00:00:00Z,2018-07-20,62,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2018-08-22,2018-08-22T00:00:00Z,2018-08-22,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2018-10-22,2018-10-22T00:00:00Z,2018-10-22,3,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2019-01-20,2019-01-20T00:00:00Z,2019-01-20,11,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2019-04-19,2019-04-19T00:00:00Z,2019-04-19,4,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2019-05-20,2019-05-20T00:00:00Z,2019-05-20,2,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2019-07-20,2019-07-20T00:00:00Z,2019-07-20,79,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2019-08-22,2019-08-22T00:00:00Z,2019-08-22,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2019-10-22,2019-10-22T00:00:00Z,2019-10-22,3,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2019-12-21,2019-12-21T00:00:00Z,2019-12-21,1,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2020-01-20,2020-01-20T00:00:00Z,2020-01-20,12,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2020-04-18,2020-04-18T00:00:00Z,2020-04-18,7,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2020-05-19,2020-05-19T00:00:00Z,2020-05-19,2,,,NO_VERIFIED_PRE_CUTOFF_EDITION
cut_2020-07-19,2020-07-19T00:00:00Z,2020-07-19,81,,,NO_VERIFIED_PRE_CUTOFF_EDITION
